B&BA1,B&BA2
626,575
746,613
1152,490
1981,1140
517,460
542,362
939,636
2149,511
1694,684
1568,671
4673,2742
4107,3038
4631,3553
6201,4474
5472,3590
4522,3328
4590,3385
5246,3529
5508,2834
6782,3276
10599,7627
11129,8386
10621,7219
11097,7548
11693,8687
10807,7769
9388,7122
10148,8285
11361,7676
11733,8252
1599,940
718,526
783,719
1416,675
1637,699
1159,655
1236,684
1656,787
1343,715
1090,843
4697,3521
4593,3391
7546,3801
4846,3617
6469,3759
5764,3597
4621,3276
4900,3863
5176,3642
4100,3276
10812,8149
11027,8184
12924,9075
10584,8407
11015,7991
12788,9300
12006,9229
10455,7926
12715,8631
10688,7771
1722,886
2380,869
1875,780
1599,952
1394,833
1262,995
461,412
789,568
1331,1114
775,622
3588,3547
4956,4282
4034,3214
4815,3911
5441,3333
4074,3207
4563,3532
5317,3333
6144,3583
5904,4180
11899,8851
10502,9127
11774,8802
9615,8059
11878,9611
11698,9048
11585,8321
11788,9543
11314,8981
11082,8524
1259,865
0,0
0,0
0,0
0,0
70,0
0,0
104,0
825,45
52,0
3484,3262
518,518
2242,1860
975,842
2239,1695
2180,1819
1031,966
1748,1233
2301,2136
3731,2724
11200,6467
13022,8699
14913,11073
6625,5025
8814,6708
10158,6437
11826,6669
11606,7210
11891,7558
9646,6383
641,146
109,38
0,0
6,6
96,0
5,0
156,23
155,0
0,0
149,0
2428,2113
2378,1090
2725,1871
1041,981
2091,2083
3458,2596
2183,1843
4567,3449
3096,2208
2398,2154
13223,9918
6369,5144
12434,8148
11722,8362
8892,7074
8894,6128
11868,7452
9787,6574
11173,7208
11011,7744
0,0
138,0
1,0
0,0
0,0
457,0
0,0
0,0
0,0
0,0
4694,3693
847,847
5249,2442
2307,1315
2419,2158
1955,1745
1757,1438
2697,2151
2409,2314
2518,1640
11706,7220
7801,6222
9536,7020
9799,7953
10278,8301
9811,7540
10927,8567
10606,8367
8492,6659
12601,9059
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1297,929
78,13
628,502
67,0
1371,601
1078,1078
2161,1703
80,78
